piloto,volta_num,t_ini,t_fim,t_sync_m
Humberto,1,-111.050005,-0.010004999999992492,111.050005
Humberto,11,-5.000000001587068e-06,99.989995,111.050005
Humberto,21,99.99999500000001,200.089995,111.050005
Rafa,1,-105.75,-0.010000000000005116,105.75
Rafa,11,0.0,95.53999999999999,105.75
Rafa,21,95.55000000000001,191.89,105.75
Rafa,31,191.89999999999998,286.69,105.75
Rafa,41,286.7,382.09,105.75
Rafa,51,382.1,477.64,105.75
Varela,1,-143.650004,-0.010004000000009228,143.650004
Varela,11,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,21,130.39999600000002,239.039996,143.650004
